编号	大洲	战役	行省	城镇	开局派系	首府	世界X	世界Y	六边形X	六边形Y	区域KEY	行省KEY	派系KEY	英文名	分组KEY	大洲来源
1	奥苏安	超凡帝国	伊泰恩	安格瑞尔	恣纵教派		179.70	408.44	269	529	wh3_main_combi_region_angerrial	wh3_main_combi_province_eataine	wh2_main_def_cult_of_excess	Angerrial	cai_region_hint_area_ulthuan	官方
2	奥苏安	超凡帝国	伊泰恩	洛瑟恩	伊泰恩	是	169.68	395.72	254	513	wh3_main_combi_region_lothern	wh3_main_combi_province_eataine	wh2_main_hef_eataine	Lothern	cai_region_hint_area_ulthuan	官方
3	奥苏安	超凡帝国	伊泰恩	莱森之塔	恣纵教派		152.31	405.75	228	526	wh3_main_combi_region_tower_of_lysean	wh3_main_combi_province_eataine	wh2_main_def_cult_of_excess	Tower of Lysean	cai_region_hint_area_ulthuan	官方
4	奥苏安	超凡帝国	伊泰恩	阿苏焉圣殿	恣纵教派		172.35	416.54	258	540	wh3_main_combi_region_shrine_of_asuryan	wh3_main_combi_province_eataine	wh2_main_def_cult_of_excess	Shrine of Asuryan	cai_region_hint_area_ulthuan	官方
5	奥苏安	超凡帝国	凤凰门	凤凰门	凯恩之鞭	是	163.67	477.87	245	619	wh3_main_combi_region_phoenix_gate	wh3_main_combi_province_phoenix_gate	wh2_main_def_scourge_of_khaine	Phoenix Gate	cai_region_hint_area_ulthuan	官方
6	奥苏安	超凡帝国	北伊瑞斯	塔勒尼亚	颅岩		229.80	433.51	344	562	wh3_main_combi_region_tralinia	wh3_main_combi_province_northern_yvresse	wh2_dlc15_grn_skull_crag	Tralinia	cai_region_hint_area_ulthuan	官方
7	奥苏安	超凡帝国	北伊瑞斯	塔尔·伊瑞斯	伊瑞斯	是	211.10	442.77	316	574	wh3_main_combi_region_tor_yvresse	wh3_main_combi_province_northern_yvresse	wh2_main_hef_yvresse	Tor Yvresse	cai_region_hint_area_ulthuan	官方
8	奥苏安	超凡帝国	南伊瑞斯	洛依克圣殿	颅岩		207.76	394.56	311	511	wh3_main_combi_region_shrine_of_loec	wh3_main_combi_province_southern_yvresse	wh2_dlc15_grn_skull_crag	Shrine of Loec	cai_region_hint_area_ulthuan	官方
9	奥苏安	超凡帝国	南伊瑞斯	索尔石堆	颅岩		190.39	399.19	285	517	wh3_main_combi_region_cairn_thel	wh3_main_combi_province_southern_yvresse	wh2_dlc15_grn_skull_crag	Cairn Thel	cai_region_hint_area_ulthuan	官方
10	奥苏安	超凡帝国	南伊瑞斯	艾勒萨利	颅岩	是	211.77	410.76	317	532	wh3_main_combi_region_elessaeli	wh3_main_combi_province_southern_yvresse	wh2_dlc15_grn_skull_crag	Elessaeli	cai_region_hint_area_ulthuan	官方
11	奥苏安	超凡帝国	卡勒多	塔尔·风啸城	卡勒多		137.61	408.83	206	530	wh3_main_combi_region_tor_sethai	wh3_main_combi_province_caledor	wh2_main_hef_caledor	Tor Sethai	cai_region_hint_area_ulthuan	官方
12	奥苏安	超凡帝国	卡勒多	瓦尔铁砧	卡勒多	是	136.28	394.17	204	511	wh3_main_combi_region_vauls_anvil_ulthuan	wh3_main_combi_province_caledor	wh2_main_hef_caledor	Vaul's Anvil	cai_region_hint_area_ulthuan	官方
13	奥苏安	超凡帝国	查瑞斯	埃利西亚	查瑞斯		199.74	494.07	299	640	wh3_main_combi_region_elisia	wh3_main_combi_province_chrace	wh2_main_hef_chrace	Elisia	cai_region_hint_area_ulthuan	官方
14	奥苏安	超凡帝国	查瑞斯	塔尔·阿查尔	查瑞斯	是	197.07	477.87	295	619	wh3_main_combi_region_tor_achare	wh3_main_combi_province_chrace	wh2_main_hef_chrace	Tor Achare	cai_region_hint_area_ulthuan	官方
15	奥苏安	超凡帝国	查瑞斯	库诺斯圣殿	色孽迷魂者		178.36	495.61	267	642	wh3_main_combi_region_shrine_of_kurnous	wh3_main_combi_province_chrace	wh3_main_sla_seducers_of_slaanesh	Shrine of Kurnous	cai_region_hint_area_ulthuan	官方
16	奥苏安	超凡帝国	柯思奎	塔尔·柯瑞利	柯思奎	是	221.12	467.84	331	606	wh3_main_combi_region_tor_koruali	wh3_main_combi_province_cothique	wh2_main_hef_cothique	Tor Koruali	cai_region_hint_area_ulthuan	官方
17	奥苏安	超凡帝国	柯思奎	米斯特纳	柯思奎		221.12	489.44	331	634	wh3_main_combi_region_mistnar	wh3_main_combi_province_cothique	wh2_main_hef_cothique	Mistnar	cai_region_hint_area_ulthuan	官方
18	奥苏安	超凡帝国	泰伦洛克	塔尔·安洛克	泰伦洛克	是	118.91	457.43	178	593	wh3_main_combi_region_tor_anroc	wh3_main_combi_province_tiranoc	wh2_main_hef_tiranoc	Tor Anroc	cai_region_hint_area_ulthuan	官方
19	奥苏安	超凡帝国	泰伦洛克	白峰	泰伦洛克		114.23	440.84	171	571	wh3_main_combi_region_whitepeak	wh3_main_combi_province_tiranoc	wh2_main_hef_tiranoc	Whitepeak	cai_region_hint_area_ulthuan	官方
20	奥苏安	超凡帝国	泰伦洛克	艾维瑟尔	泰伦洛克		124.92	421.56	187	546	wh3_main_combi_region_avethir	wh3_main_combi_province_tiranoc	wh2_main_hef_tiranoc	Avethir	cai_region_hint_area_ulthuan	官方
21	奥苏安	超凡帝国	浩瀚洋	葬船坟场	恐惧舰队	是	171.68	345.96	257	448	wh3_main_combi_region_the_galleons_graveyard	wh3_main_combi_province_the_great_ocean	wh2_dlc11_cst_noctilus	The Galleon's Graveyard		就近推定
